journal,issn,variable,label,value
Advanced Functional Materials,1616-3028,opr_letters,"Are editorial decision letters being
published?",Not specified
Advanced Materials,1521-4095,opr_letters,"Are editorial decision letters being
published?",Not specified
American Economic Review,0002-8282,opr_letters,"Are editorial decision letters being
published?",Not specified
American Journal of Political Science,1540-5907,opr_letters,"Are editorial decision letters being
published?",Not specified
American Journal of Public Health,1541-0048,opr_letters,"Are editorial decision letters being
published?",Not specified
American Political Science Review,1537-5943,opr_letters,"Are editorial decision letters being
published?",Not specified
American Sociological Review,1939-8271,opr_letters,"Are editorial decision letters being
published?",Not specified
Angewandte Chemie International Edition,1521-3773,opr_letters,"Are editorial decision letters being
published?",Not specified
Annals of Internal Medicine,0003-4819,opr_letters,"Are editorial decision letters being
published?",Not specified
Annals of Oncology,1569-8041,opr_letters,"Are editorial decision letters being
published?",Not specified
Annals of the Rheumatic Diseases,1468-2060,opr_letters,"Are editorial decision letters being
published?",Not specified
Annals of Tourism Research,0160-7383,opr_letters,"Are editorial decision letters being
published?",Not specified
Applied Energy,0306-2619,opr_letters,"Are editorial decision letters being
published?",Not specified
Applied Linguistics,1477-450X,opr_letters,"Are editorial decision letters being
published?",No
Applied Physics Letters,1077-3118,opr_letters,"Are editorial decision letters being
published?",Not specified
Astronomy & Astrophysics,1432-0746,opr_letters,"Are editorial decision letters being
published?",Not specified
Biomaterials,0142-9612,opr_letters,"Are editorial decision letters being
published?",Not specified
Blood,1528-0020,opr_letters,"Are editorial decision letters being
published?",Not specified
BMJ,1756-1833,opr_letters,"Are editorial decision letters being
published?",Conditional
Cancer Cell,1535-6108,opr_letters,"Are editorial decision letters being
published?",Not specified
Cancer Research,0099-7013,opr_letters,"Are editorial decision letters being
published?",Not specified
Cell,1097-4172,opr_letters,"Are editorial decision letters being
published?",Not specified
Cell Metabolism,1550-4131,opr_letters,"Are editorial decision letters being
published?",Not specified
Cell Stem Cell,1934-5909,opr_letters,"Are editorial decision letters being
published?",Not specified
"Chemical communications (Cambridge, England)",0144-557X,opr_letters,"Are editorial decision letters being
published?",Not specified
Chemical Reviews,1520-6890,opr_letters,"Are editorial decision letters being
published?",Not specified
Chemical Society reviews,1460-4744,opr_letters,"Are editorial decision letters being
published?",Not specified
Chemistry of Materials,1520-5002,opr_letters,"Are editorial decision letters being
published?",Not specified
Circulation,0009-7322,opr_letters,"Are editorial decision letters being
published?",Not specified
Circulation Research,1524-4571,opr_letters,"Are editorial decision letters being
published?",Not specified
Clinical Cancer Research,1557-3265,opr_letters,"Are editorial decision letters being
published?",Not specified
Computers & Education,0360-1315,opr_letters,"Are editorial decision letters being
published?",Not specified
Diabetes Care,1935-5548,opr_letters,"Are editorial decision letters being
published?",Not specified
Digital Journalism,2167-082X,opr_letters,"Are editorial decision letters being
published?",Not specified
Econometrica,1468-0262,opr_letters,"Are editorial decision letters being
published?",Not specified
Energy and Environmental Science,1754-5706,opr_letters,"Are editorial decision letters being
published?",Not specified
Environmental Science & Technology,0013-936X,opr_letters,"Are editorial decision letters being
published?",Not specified
European Heart Journal,1522-9645,opr_letters,"Are editorial decision letters being
published?",Not specified
European Urology,0302-2838,opr_letters,"Are editorial decision letters being
published?",Not specified
Gastroenterology,0016-5085,opr_letters,"Are editorial decision letters being
published?",No
Gender & Society,1552-3977,opr_letters,"Are editorial decision letters being
published?",Not specified
Geophysical Research Letters,1944-8007,opr_letters,"Are editorial decision letters being
published?",Not specified
Global Environmental Change,0959-3780,opr_letters,"Are editorial decision letters being
published?",Not specified
Government Information Quarterly,0740-624X,opr_letters,"Are editorial decision letters being
published?",Not specified
Gut,1468-3288,opr_letters,"Are editorial decision letters being
published?",Not specified
Health Affairs,1544-5208,opr_letters,"Are editorial decision letters being
published?",Not specified
Hepatology,1527-3350,opr_letters,"Are editorial decision letters being
published?",Not specified
IEEE Communications Magazine,0163-6804,opr_letters,"Are editorial decision letters being
published?",Not specified
IEEE Communications Surveys & Tutorials,1553-877X,opr_letters,"Are editorial decision letters being
published?",Not specified
"IEEE Conference on Computer Vision and Pattern Recognition, CVPR","Only ISBN available, counts as a book",opr_letters,"Are editorial decision letters being
published?",Not specified
IEEE International Conference on Computer Vision,2380-7504,opr_letters,"Are editorial decision letters being
published?",No
IEEE Transactions on Automatic Control,0018-9286,opr_letters,"Are editorial decision letters being
published?",Not specified
IEEE Transactions on Industrial Electronics,0278-0046,opr_letters,"Are editorial decision letters being
published?",Not specified
IEEE Transactions on Pattern Analysis and Machine Intelligence,0162-8828,opr_letters,"Are editorial decision letters being
published?",Not specified
IEEE Transactions on Power Electronics,0885-8993,opr_letters,"Are editorial decision letters being
published?",Not specified
IEEE Transactions on Signal Processing,1053-587X,opr_letters,"Are editorial decision letters being
published?",Not specified
Immunity,1074-7613,opr_letters,"Are editorial decision letters being
published?",Not specified
International Journal of Communication,1932-8036,opr_letters,"Are editorial decision letters being
published?",Not specified
International Journal of Production Economics,0925-5273,opr_letters,"Are editorial decision letters being
published?",Not specified
Journal of the American Medical Association,1538-3598,opr_letters,"Are editorial decision letters being
published?",Not specified
Journal of Allergy and Clinical Immunology,0091-6749,opr_letters,"Are editorial decision letters being
published?",Not specified
Journal of Banking & Finance,0378-4266,opr_letters,"Are editorial decision letters being
published?",Not specified
Journal of Business Ethics,1573-0697,opr_letters,"Are editorial decision letters being
published?",Not specified
Journal of Business Research,0148-2963,opr_letters,"Are editorial decision letters being
published?",Not specified
Journal of Cleaner Production,0959-6526,opr_letters,"Are editorial decision letters being
published?",Not specified
Journal of Clinical Oncology,1527-7755,opr_letters,"Are editorial decision letters being
published?",Not specified
Journal of Communication,1460-2466,opr_letters,"Are editorial decision letters being
published?",Not specified
Journal of Cosmology and Astroparticle Physics,1475-7516,opr_letters,"Are editorial decision letters being
published?",No
Journal of Economic Perspectives,1944-7965,opr_letters,"Are editorial decision letters being
published?",Not specified
Journal of Educational Psychology,1939-2176,opr_letters,"Are editorial decision letters being
published?",Not specified
Journal of Financial Economics,0304-405X,opr_letters,"Are editorial decision letters being
published?",Not specified
Journal of Geophysical Research,2156-2202,opr_letters,"Are editorial decision letters being
published?",Not specified
Journal of Hepatology,0168-8278,opr_letters,"Are editorial decision letters being
published?",Not specified
Journal of High Energy Physics,1029-8479,opr_letters,"Are editorial decision letters being
published?",Not specified
Journal of Management,1557-1211,opr_letters,"Are editorial decision letters being
published?",Not specified
Journal of Materials Chemistry. A,2050-7488,opr_letters,"Are editorial decision letters being
published?",Not specified
Journal of Pragmatics,0378-2166,opr_letters,"Are editorial decision letters being
published?",Not specified
Journal of the American Chemical Society,1520-5126,opr_letters,"Are editorial decision letters being
published?",Not specified
Journal of the American College of Cardiology,0735-1097,opr_letters,"Are editorial decision letters being
published?",Not specified
Journal of Youth and Adolescence,1573-6601,opr_letters,"Are editorial decision letters being
published?",Not specified
Journalism,1741-3001,opr_letters,"Are editorial decision letters being
published?",Not specified
Journalism Practice,1751-2786,opr_letters,"Are editorial decision letters being
published?",Not specified
Journalism Studies,1461-670X,opr_letters,"Are editorial decision letters being
published?",Not specified
Land Use Policy,0264-8377,opr_letters,"Are editorial decision letters being
published?",Not specified
Language Learning,1467-9922,opr_letters,"Are editorial decision letters being
published?",Not specified
Lingua,0024-3841,opr_letters,"Are editorial decision letters being
published?",Not specified
Management Information Systems Quarterly,2162-9730,opr_letters,"Are editorial decision letters being
published?",Not specified
Management Science,1526-5501,opr_letters,"Are editorial decision letters being
published?",Not specified
"Media, Culture & Society",1460-3675,opr_letters,"Are editorial decision letters being
published?",Not specified
Molecular Cell,1097-2765,opr_letters,"Are editorial decision letters being
published?",Not specified
Monthly Notices of the Royal Astronomical Society,1365-2966,opr_letters,"Are editorial decision letters being
published?",Not specified
Nano Letters,1530-6992,opr_letters,"Are editorial decision letters being
published?",Not specified
Nanoscale,2040-3372,opr_letters,"Are editorial decision letters being
published?",Not specified
Nature,1476-4687,opr_letters,"Are editorial decision letters being
published?",Not specified
Nature Biotechnology,1546-1696,opr_letters,"Are editorial decision letters being
published?",Not specified
Nature Cell Biology,1476-4679,opr_letters,"Are editorial decision letters being
published?",Not specified
Nature Chemistry,1755-4349,opr_letters,"Are editorial decision letters being
published?",Not specified
Nature Climate Change,1758-6798,opr_letters,"Are editorial decision letters being
published?",Not specified
Nature Communications,2041-1723,opr_letters,"Are editorial decision letters being
published?",Not specified
Nature Genetics,1546-1718,opr_letters,"Are editorial decision letters being
published?",Not specified
Nature Immunology,1529-2916,opr_letters,"Are editorial decision letters being
published?",Not specified
Nature Materials,1476-4660,opr_letters,"Are editorial decision letters being
published?",Not specified
Nature Medicine,1546-170X,opr_letters,"Are editorial decision letters being
published?",Not specified
Nature Methods,1548-7105,opr_letters,"Are editorial decision letters being
published?",Not specified
Nature Nanotechnology,1748-3395,opr_letters,"Are editorial decision letters being
published?",Not specified
Nature Neuroscience,1546-1726,opr_letters,"Are editorial decision letters being
published?",Not specified
Nature Photonics,1749-4893,opr_letters,"Are editorial decision letters being
published?",Not specified
Nature Physics,1745-2481,opr_letters,"Are editorial decision letters being
published?",Not specified
Nature Reviews Cancer,1474-1768,opr_letters,"Are editorial decision letters being
published?",Not specified
Nature Reviews Genetics,1471-0064,opr_letters,"Are editorial decision letters being
published?",Not specified
Nature Reviews Immunology,1474-1733,opr_letters,"Are editorial decision letters being
published?",Not specified
Nature Reviews Neuroscience,1471-0048,opr_letters,"Are editorial decision letters being
published?",Not specified
Nature Reviews. Drug Discovery,1474-1784,opr_letters,"Are editorial decision letters being
published?",Not specified
Nature Reviews. Molecular Cell Biology,1471-0080,opr_letters,"Are editorial decision letters being
published?",Not specified
Neural Information Processing Systems (NIPS),NIPS-ISSN,opr_letters,"Are editorial decision letters being
published?",Yes
NeuroImage,1053-8119,opr_letters,"Are editorial decision letters being
published?",Not specified
Neuron,1097-4199,opr_letters,"Are editorial decision letters being
published?",Not specified
New Media and Society,1461-7315,opr_letters,"Are editorial decision letters being
published?",Not specified
Noûs,1468-0068,opr_letters,"Are editorial decision letters being
published?",Not specified
Nucleic Acids Research,1362-4962,opr_letters,"Are editorial decision letters being
published?",Not specified
Obstetrical & Gynecological Survey,1533-9866,opr_letters,"Are editorial decision letters being
published?",Not specified
Optics Express,1094-4087,opr_letters,"Are editorial decision letters being
published?",Not specified
Pediatrics,1098-4275,opr_letters,"Are editorial decision letters being
published?",Not specified
Philosophical Studies,1573-0883,opr_letters,"Are editorial decision letters being
published?",Not specified
Physical Review B,1550-235X,opr_letters,"Are editorial decision letters being
published?",No
Physical Review D,1550- 2368,opr_letters,"Are editorial decision letters being
published?",No
Physical Review Letters,1079-7114,opr_letters,"Are editorial decision letters being
published?",No
Physical Review X,2160-3308,opr_letters,"Are editorial decision letters being
published?",No
Physics Letters B,0375-9601,opr_letters,"Are editorial decision letters being
published?",Not specified
PLoS One,1932-6203,opr_letters,"Are editorial decision letters being
published?",Not specified
Proceedings of the National Academy of Sciences,1091-6490,opr_letters,"Are editorial decision letters being
published?",Not specified
Progress in Human Geography,1477-0288,opr_letters,"Are editorial decision letters being
published?",Not specified
Public Opinion Quarterly,1537-5331,opr_letters,"Are editorial decision letters being
published?",Not specified
Regional Studies,1360-0591,opr_letters,"Are editorial decision letters being
published?",Not specified
Renewable and Sustainable Energy Reviews,1364-0321,opr_letters,"Are editorial decision letters being
published?",Not specified
Research Policy,0048-7333,opr_letters,"Are editorial decision letters being
published?",Not specified
Review of Economics and Statistics,0034-6535,opr_letters,"Are editorial decision letters being
published?",Not specified
Reviews of Modern Physics,1539-0756,opr_letters,"Are editorial decision letters being
published?",No
Science,1095-9203,opr_letters,"Are editorial decision letters being
published?",Not specified
Science Translational Medicine,1946-6234,opr_letters,"Are editorial decision letters being
published?",Not specified
Scientific Reports,2045-2322,opr_letters,"Are editorial decision letters being
published?",Not specified
Social Science & Medicine,0277-9536,opr_letters,"Are editorial decision letters being
published?",Not specified
Strategic Management Journal,1097-0266,opr_letters,"Are editorial decision letters being
published?",Not specified
Synthese,1573-0964,opr_letters,"Are editorial decision letters being
published?",Not specified
System,0346-251X,opr_letters,"Are editorial decision letters being
published?",Not specified
Teaching and Teacher Education,0742-051X,opr_letters,"Are editorial decision letters being
published?",Not specified
TESOL Quarterly,1545-7249,opr_letters,"Are editorial decision letters being
published?",Not specified
The Astrophysical Journal,1538-4357,opr_letters,"Are editorial decision letters being
published?",Not specified
The China Quarterly,1468-2648,opr_letters,"Are editorial decision letters being
published?",Not specified
The Cochrane Database of Systematic Reviews,1469-493X,opr_letters,"Are editorial decision letters being
published?",No
The European Physical Journal C,1434-6052,opr_letters,"Are editorial decision letters being
published?",Not specified
The Journal of Clinical Investigation,1558-8238,opr_letters,"Are editorial decision letters being
published?",Not specified
The Journal of Finance,1540-6261,opr_letters,"Are editorial decision letters being
published?",Not specified
The Journal of Physical Chemistry Letters,1948-7185,opr_letters,"Are editorial decision letters being
published?",Not specified
The Lancet,1474-547X,opr_letters,"Are editorial decision letters being
published?",Not specified
The Lancet Neurology,1474-4422,opr_letters,"Are editorial decision letters being
published?",Not specified
The Lancet Oncology,1470-2045,opr_letters,"Are editorial decision letters being
published?",Not specified
The Modern Language Journal,1540-4781,opr_letters,"Are editorial decision letters being
published?",Not specified
The New England Journal of Medicine,1533-4406,opr_letters,"Are editorial decision letters being
published?",Not specified
The Quarterly Journal of Economics,1531-4650,opr_letters,"Are editorial decision letters being
published?",Not specified
The Review of Economic Studies,1467-937X,opr_letters,"Are editorial decision letters being
published?",Not specified
The Review of Financial Studies,1465-7368,opr_letters,"Are editorial decision letters being
published?",Not specified
Tourism Management,0261-5177,opr_letters,"Are editorial decision letters being
published?",Not specified
World Development,1873-5991,opr_letters,"Are editorial decision letters being
published?",Not specified
Academic Medicine,1040-2446,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
ACS Applied Materials & Interfaces,1944-8252,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Accounts of Chemical Research,1520-4898,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
ACS Catalysis,2155-5435,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Academy of Management Journal,0001-4273,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
ACS Nano,1936-086X,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Advanced Energy Materials,1614-6840,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Advanced Functional Materials,1616-3028,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Advanced Materials,1521-4095,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
American Economic Review,0002-8282,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
American Journal of Political Science,1540-5907,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
American Journal of Public Health,1541-0048,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
American Political Science Review,1537-5943,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
American Sociological Review,1939-8271,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Angewandte Chemie International Edition,1521-3773,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Annals of Internal Medicine,0003-4819,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Annals of Oncology,1569-8041,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Annals of the Rheumatic Diseases,1468-2060,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Annals of Tourism Research,0160-7383,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Applied Energy,0306-2619,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Applied Linguistics,1477-450X,opr_versions,"Are previous versions of the manuscript
being published?",No
Applied Physics Letters,1077-3118,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Astronomy & Astrophysics,1432-0746,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Biomaterials,0142-9612,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Blood,1528-0020,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
BMJ,1756-1833,opr_versions,"Are previous versions of the manuscript
being published?",Conditional
Cancer Cell,1535-6108,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Cancer Research,0099-7013,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Cell,1097-4172,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Cell Metabolism,1550-4131,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Cell Stem Cell,1934-5909,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
"Chemical communications (Cambridge, England)",0144-557X,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Chemical Reviews,1520-6890,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Chemical Society reviews,1460-4744,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Chemistry of Materials,1520-5002,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Circulation,0009-7322,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Circulation Research,1524-4571,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Clinical Cancer Research,1557-3265,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Computers & Education,0360-1315,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Diabetes Care,1935-5548,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Digital Journalism,2167-082X,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Econometrica,1468-0262,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Energy and Environmental Science,1754-5706,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Environmental Science & Technology,0013-936X,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
European Heart Journal,1522-9645,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
European Urology,0302-2838,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Gastroenterology,0016-5085,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Gender & Society,1552-3977,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Geophysical Research Letters,1944-8007,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Global Environmental Change,0959-3780,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Government Information Quarterly,0740-624X,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Gut,1468-3288,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Health Affairs,1544-5208,opr_versions,"Are previous versions of the manuscript
being published?",No
Hepatology,1527-3350,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
IEEE Communications Magazine,0163-6804,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
IEEE Communications Surveys & Tutorials,1553-877X,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
"IEEE Conference on Computer Vision and Pattern Recognition, CVPR","Only ISBN available, counts as a book",opr_versions,"Are previous versions of the manuscript
being published?",Not specified
IEEE International Conference on Computer Vision,2380-7504,opr_versions,"Are previous versions of the manuscript
being published?",No
IEEE Transactions on Automatic Control,0018-9286,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
IEEE Transactions on Industrial Electronics,0278-0046,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
IEEE Transactions on Pattern Analysis and Machine Intelligence,0162-8828,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
IEEE Transactions on Power Electronics,0885-8993,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
IEEE Transactions on Signal Processing,1053-587X,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Immunity,1074-7613,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
International Journal of Communication,1932-8036,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
International Journal of Production Economics,0925-5273,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Journal of the American Medical Association,1538-3598,opr_versions,"Are previous versions of the manuscript
being published?",No
Journal of Allergy and Clinical Immunology,0091-6749,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Journal of Banking & Finance,0378-4266,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Journal of Business Ethics,1573-0697,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Journal of Business Research,0148-2963,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Journal of Cleaner Production,0959-6526,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Journal of Clinical Oncology,1527-7755,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Journal of Communication,1460-2466,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Journal of Cosmology and Astroparticle Physics,1475-7516,opr_versions,"Are previous versions of the manuscript
being published?",No
Journal of Economic Perspectives,1944-7965,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Journal of Educational Psychology,1939-2176,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Journal of Financial Economics,0304-405X,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Journal of Geophysical Research,2156-2202,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Journal of Hepatology,0168-8278,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Journal of High Energy Physics,1029-8479,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Journal of Management,1557-1211,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Journal of Materials Chemistry. A,2050-7488,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Journal of Pragmatics,0378-2166,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Journal of the American Chemical Society,1520-5126,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Journal of the American College of Cardiology,0735-1097,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Journal of Youth and Adolescence,1573-6601,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Journalism,1741-3001,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Journalism Practice,1751-2786,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Journalism Studies,1461-670X,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Land Use Policy,0264-8377,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Language Learning,1467-9922,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Lingua,0024-3841,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Management Information Systems Quarterly,2162-9730,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Management Science,1526-5501,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
"Media, Culture & Society",1460-3675,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Molecular Cell,1097-2765,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Monthly Notices of the Royal Astronomical Society,1365-2966,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Nano Letters,1530-6992,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Nanoscale,2040-3372,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Nature,1476-4687,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Nature Biotechnology,1546-1696,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Nature Cell Biology,1476-4679,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Nature Chemistry,1755-4349,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Nature Climate Change,1758-6798,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Nature Communications,2041-1723,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Nature Genetics,1546-1718,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Nature Immunology,1529-2916,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Nature Materials,1476-4660,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Nature Medicine,1546-170X,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Nature Methods,1548-7105,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Nature Nanotechnology,1748-3395,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Nature Neuroscience,1546-1726,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Nature Photonics,1749-4893,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Nature Physics,1745-2481,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Nature Reviews Cancer,1474-1768,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Nature Reviews Genetics,1471-0064,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Nature Reviews Immunology,1474-1733,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Nature Reviews Neuroscience,1471-0048,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Nature Reviews. Drug Discovery,1474-1784,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Nature Reviews. Molecular Cell Biology,1471-0080,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Neural Information Processing Systems (NIPS),NIPS-ISSN,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
NeuroImage,1053-8119,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Neuron,1097-4199,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
New Media and Society,1461-7315,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Noûs,1468-0068,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Nucleic Acids Research,1362-4962,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Obstetrical & Gynecological Survey,1533-9866,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Optics Express,1094-4087,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Pediatrics,1098-4275,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Philosophical Studies,1573-0883,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Physical Review B,1550-235X,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Physical Review D,1550- 2368,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Physical Review Letters,1079-7114,opr_versions,"Are previous versions of the manuscript
being published?",No
Physical Review X,2160-3308,opr_versions,"Are previous versions of the manuscript
being published?",No
Physics Letters B,0375-9601,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
PLoS One,1932-6203,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Proceedings of the National Academy of Sciences,1091-6490,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Progress in Human Geography,1477-0288,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Public Opinion Quarterly,1537-5331,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Regional Studies,1360-0591,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Renewable and Sustainable Energy Reviews,1364-0321,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Research Policy,0048-7333,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Review of Economics and Statistics,0034-6535,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Reviews of Modern Physics,1539-0756,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Science,1095-9203,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Science Translational Medicine,1946-6234,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Scientific Reports,2045-2322,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Social Science & Medicine,0277-9536,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Strategic Management Journal,1097-0266,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Synthese,1573-0964,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
System,0346-251X,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
Teaching and Teacher Education,0742-051X,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
TESOL Quarterly,1545-7249,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
The Astrophysical Journal,1538-4357,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
The China Quarterly,1468-2648,opr_versions,"Are previous versions of the manuscript
being published?",Not specified
The Cochrane Database of Systematic Reviews,1469-493X,opr_versions,"Are previous versions of the manuscript
being published?",No
